春来眼际	喜上眉梢
春雨新龙角	秋风振凤毛
春云山对屋	夜雨水平桥
春早人尤早	花红心更红
春早水流韵	岁新梅吐香
春早田园秀	世清山水明
春占红梅上	莺歌绿柳前
此间浑是锦	到处尽如春
催春布谷叫	报喜牵牛开
翠湖满湖翠	春江一江春
村村奔富路	户户达小康
村镇融融乐	城乡处处新
大地春风劲	长征战鼓催
大地春光好	神州气象新
大地风雷荡	中华日月新
大地逢春绿	江山映日红
大地千山秀	神州万象新
大地迎春绿	人心向阳红
大富千家乐	小康万户欢
大会惊中外	神州震月星
大业宏图展	新春好运来
大治固家盛	小康岁月甜
大治民心快	小康社会安
丹桂香千里	松柏青万年
丹心辉赤日	黑手献乌金
丹心献祖国	妙手绘春光
丹心珍晚节	白首树新风
淡浓随意变	深浅入时新
党布翻番景	民吟改革诗
党恩深似海	民意重如山
党恩泽四海	政绩炳千秋
党风清如水	国色灿若霞
党正民心乐	官清国运昌
党指通天路	民怀报国心
党指小康路	民歌大有年
党指幸福路	勤开致富门
道德崇高事	风云浩荡春
德风熏赤县	法雨润苍生
德高人寿永	福依党恩生
德门春不老	佳宅福长存
德门增百福	农户驻三阳
灯照千门喜	春暖万人心
笛弄红梅颂	莺歌绿柳春
笛弄梅花曲	莺啼杨柳风
笛奏梅花曲	莺歌杨柳风
地暖花长发	村幽鸟任歌
地暖花长发	林幽鸟任歌
地暖花长发	天晴鸟争鸣
地暖花更发	林幽鸟欢歌
地载风流世	天开锦绣春
丁年歌盛世	卯兔耀中华
东风遍天下	春色满人间
东风传紫气	大地发春华
东风拂大地	政策暖人心
东风舒柳眼	时雨沐春容
东风引紫气	大地发春华
东风迎新岁	瑞雪兆丰年
东南花艳艳	西北兴欣欣
冬去留诗意	春来绘画图
冬随捷报去	春带凯歌来
栋梁砥华夏	桃李芳九州
斗雪梅先吐	含烟柳尚青
读书真福乐	赏画悦心神
端月初临福	新年又报祥
对此文明世	联斯翰墨家
对酒歌盛世	举杯庆升平
对酒歌盛世	举杯庆丰收
对韵俨龙马	联书大吉羊
多才因博学	精艺自超群
发家勤为本	致富俭当头
法为邦命脉	民是业根基
法正江山固	国强世纪娇
法制安天下	科教振中华
反腐扬正气	倡廉树新风
芳草连天碧	春花遍地红
芳草年年发	古城日日新
芳草年年绿	红旗处处飘
芳草年年绿	春联处处新
芳菲春草绿	烂漫山花红
芳树笼秦栈	春流绕蜀城
芳随春意满	年共物华增
放飞新希望	珍惜好年华
放歌迎盛世	酌酒贺新年
放怀歌盛世	泼墨颂新春
飞雪迎春到	高歌动地吟
飞雪迎春到	心潮逐浪高
丰年呈喜报	盛世拓财源
丰年飞瑞雪	好景舞春风
丰年飞瑞雪	骏马跃长征
丰稔黄牛志	富强赤子心
风度竹流韵	马驰春作声
风鼓帆展翼	雨洗山更颜
风光行处好	春色望中新
风光逐时好	春色一番新
风和催四化	政洽喜千家
风和千树茂	雨润百花香
风和日华丽	气澄天宇高
风华新世纪	法制好江山
风幻西欧浊	浪平海峡宽
风劲红旗舞	世新玉宇清
风景神奇秘	文章点缀明
风来花似笑	春到鸟亦歌
风来花自舞	春到鸟能言
风暖日光丽	气清天宇高
风暖日华丽	气澄天宇高
风清春不老	谷聚岁常丰
风清江水碧	政善众心红
风清民乐业	政善众安居
风移兰气入	春逐鸟声来
风引奇香入	祥征景福来
风雨沧桑世	神州浩荡春
风正民心顺	人和国自安
风正民心顺	人和国运昌
风正民心顺	官清社稷安
风正民心顺	人和国事安
风正人民乐	心齐事业兴
国光辉特色	民志展雄风
国华光汉宇	和气煦神州
国华光盛世	民意洽东风
国华光夏甸	民气煦春阳
国家凭法制	世纪灿春光
国家行善政	民众享康宁
国脉千秋在	江河万古流
国强民乐业	春暖燕争归
国强千秋盛	家和万事兴
国强喜事多	民富烦恼少
国盛人民富	家和事业昌
国泰家家福	民安处处春
国泰千秋乐	家和万事兴
国泰千乡富	家和万事兴
国兴凭党领	家治赖人和
国愿人民富	家盼子孙贤
国运逢春好	民心向党红
国肇三阳泰	楼收万里春
国振凭国策	家兴靠家风
国治春光暖	家和鹊声高
国壮山河秀	城春草木新
海阔凭鱼跃	路遥任马驰
海深千水绿	春满万山红
亥时看入户	猪岁喜盈门
寒堆阴岭雪	春泮水池冰
寒风随岁去	德政伴春来
寒尽桃花嫩	春归柳叶新
寒梅浮冷艳	老柳展新姿
寒梅荣盛世	瑞雪兆丰年
寒梅因雪艳	飞燕为春归
寒去草先翠	春来花最红
寒雪催春早	酒香贺岁归
寒雪梅中尽	春风柳上归
豪情歌四化	捷报耀三春
豪饮团圆酒	狂歌幸福年
好景动人处	春风得意时
好景年年好	新春岁岁新
和飞氤氲合	卿云烂漫浮
和风吹绿柳	时雨润春苗
和风动淑气	老树发新枝
和风千日暖	丽景百花妍
和风梳绿柳	时雨润红棉
和光生柳叶	春色泛桃花
和光生绿叶	春色泛桃花
和平防演变	改革勿松疏
和声鸣盛世	鼓乐庆升平
河清庆有日	海晏乐无垠
河山欣挺秀	祖国庆长春
河山迎春绿	桃李迎日红
横心走富路	阔步奔小康
弘扬主弦律	倡导好精神
红点桃花嫩	青描柳色新
红花香千里	春风暖万家
红花映喜报	绿水织春光
红鸡啼夜晓	黄犬吠年丰
红联歌盛世	美酒祝华年
红梅报新春	瑞雪兆丰年
红梅开盛世	瑞雪兆丰年
红梅开岁首	喜鹊唱枝头
红梅香小院	玉兔下人间
红梅香雪海	绿柳笑春风
红梅迎春笑	玉兔出月欢
红梅迎春笑	金葵向日开
红梅迎岁笑	玉兔伴娥欢
红梅迎雪放	玉兔踏春来
红梅赠马岁	彩烛耀羊年
红梅知春早	松柏认岁寒
红旗开玉局	伟业壮金瓯
红旗飘海上	渔歌庆丰年
红旗舞天半	春色满寰中
红旗映喜报	绿水绘春光
红旗招四化	紫燕报三春
红旗昭盛世	紫燕舞春风
红日千秋照	神州万载春
红日驱妖雾	东风扫残云
红日浴林海	万户梅花红
红日照大地	春风拂残云
红松添新枝	青梅映彩霞
红雨桃千树	春风柳十围
红烛陶至美	雏凤育新声
宏图惊虎豹	正气挟风雷
猴引康庄道	鸡迎锦绣春
虎去威犹在	兔来运更昌
虎去雄风在	兔来喜气浓
虎声传捷报	兔影抖春晖
虎威惊盛世	兔翰绘新春
虎啸风声远	龙腾海浪高
虎啸青山秀	兔奔碧野宽
虎跃前程去	兔携好运来
户户春光美	村村气象新
花动朱楼雪	城凝碧树烟
花繁红影碎	叶密绿阴青
花放山河丽	光照天地新
花开春富贵	竹报岁平安
花开春富贵	竹报岁吉祥
花开天下福	马跃人间春
花开万里香	日出千山丽
花開朝日地	富致勤俭家
花木四时秀	庭院满眼春
傲骨高风亮节	红梅翠竹青松
白发同偕千岁	红心共映春秋
白雪红梅报喜	黄莺紫燕迎春
百花生香吐艳	四化跃马扬鞭
百花生香吐艳	四化跃马争春
百花迎春斗艳	群英为国争光
百卉近春斗艳	群芳为国争光
百卉迎春斗艳	群芳为国争荣
百联同歌盛世	九州共祝民康
百族家家乐业	九州户户安居
爆竹声声除旧	桃符代代更新
爆竹声声祝福	灯花闪闪迎春
爆竹一声除旧	桃符万户更新
爆竹一声除旧	春联万户更新
爆竹一声辞旧	桃符万户更新
北京赢来奥运	中国获得成功
碧海苍山玉宇	春风丽日神州
鞭炮声声报喜	红灯盏盏迎春
表演神州好事	传播时代精神
不靠苍天赐福	全凭白手起家
彩笔精描四化	红心巧绣三春
承上下求索志	绘春秋振兴图
除旧岁破旧俗	迎新年树新风
处处春光济美	年年人物风流
处处欢歌遍地	家家喜笑连天
处处明山秀水	家家笑语欢歌
窗外红梅最艳	心头美景尤佳
创造万千气象	建设两个文明
春草满庭吐秀	百花遍地飘香
春到碧桃树上	莺歌绿柳楼前
春到芙蓉国里	福临杨柳门前
春到红鬃马上	喜临绿柳门前
春到江南塞北	马腾正气清风
春风吹遍天涯	阳光普照人间
春风春雨春花	新年新岁新景
春风春雨春色	新岁新年新风
春风春雨春色	新年新岁新景
春风花香鸟语	夜月书韵琴声
春光洒满大地	彩霞映遍神州
春好群芳共喜	禾丰举国共欢
春来花香鸟语	雪兆五谷丰登
春来鸟语花香	冬去山明水秀
春满勤劳门第	喜融幸福人家
春满三江四海	喜盈万户千家
春暖风和日丽	年丰物阜民欢
春暖风和日丽	物丰国泰民安
春暖风和日丽	政兴人寿年丰
春暖风和日丽	年丰物阜民康
春日人人共乐	江山处处皆春
春意布满大地	阳光普照人间
春引百花竟放	福到人寿年丰
春织千山锦绣	旗扬万里雄风
春至家中抽芽	福从天上降临
春种遍地绿玉	秋收满仓黄金
春种千山绿玉	秋收万顷黄金
春种千田碧玉	秋收万仓黄金
春驻笔花万朵	云描淑景千番
春著笔花万朵	泰蒸豹雾千层
春自改革唤起	富由开放得来
春自寒梅报到	年从瑞雪迎来
春自寒梅报起	年从玉兔迎来
春自寒梅唤起	香由乳燕衔来
春自卯时报起	福由兔口衔来
翠竹红梅青松	傲骨高风亮节
大地百花齐放	神州万象更新
大地风光旖旎	神州人物轩昂
大地三春永驻	神州两制长存
大地生香吐艳	神州跃马争春
大水流为九曲	春风又是一年
大业千帆竞发	明春万象更新
荡荡乾坤不老	昭昭日月生辉
到处山欢海笑	遍地虎跃龙腾
地灵更喜人杰	物阜又遇年丰
电信九州枢纽	邮局四化桥梁
冬尽梅花点点	春回爆竹声声
冬去山明水秀	春来鸟语花香
冬去山青水秀	春来鸟语花香
冬去山青水秀	春来燕舞莺歌
杜宇一声春晓	黄莺几啭岁新
发家切记勤俭	富裕莫忘扶贫
法制成风国泰	道德化雨民安
反映时代脉搏	振奋民族精神
芳草遍地吐秀	群英满园生香
芳草满园吐秀	群英遍地生辉
放眼崭新世纪	振兴锦绣中华
飞雪片片凝瑞	马蹄声声报春
奋扫山间雨露	喜迎天下宾朋
风过红旗似画	春来绿水如烟
风景这边独好	江山如此多娇
风展红旗如画	春来众志成城
风展红旗似画	春来绿水如蓝
风正江山吐秀	心齐国运昌隆
福临寿星门第	春到致富人家
福满工农门第	春到劳动人家
福日九州共乐	新年四海同春
富裕全凭奋斗	成功来自艰辛
改革潮掀巨浪	振兴气贯长虹
改革顿开富路	承包立铲穷根
港澳归帆在望	台澎去雁将回
港澳荣归故国	炎黄喜步登天
歌颂轩辕功德	弘扬民族精神
功业长留天地	光辉永照人间
共建文明环境	同兴锦绣中华
共庆春回大地	同歌喜到人间
共喜阳回大地	同歌春到人间
国富民强盛世	花香日暖新春
国富民强世盛	天时地利人和
国富星辰耀彩	政清日月生辉
国贵安定团结	家宜勤俭节约
国际风云多变	神州信念益坚
国强家富人寿	花好月圆年丰
国泰家兴民乐	年丰日富时昌
国肇繁荣昌盛	民欣长治久安
好山好水好景	新岁新春新人
好水好山好景	新岁新居新人
何限我家富裕	更求全国繁荣
和睦聚财致富	忠厚多福永安
红梅初绽花二	东方风来又一
红梅伸枝傲雪	桃李含笑迎春
红梅铮骨傲雪	桃李笑颜迎春
红心巧绘三春	彩笔精描四化
红杏香满晴陌	青梅酸滴阳枝
虎奋千年古国	龙腾四化鹏程
虎去犹存猛劲	兔来更显奇才
虎去犹留猛劲	兔来更显捷才
虎啸凯歌一曲	兔奔喜报九州
虎跃龙腾碧海	莺歌燕舞春风
虎跃龙腾国瑞	春华秋实年丰
虎跃龙骧鹏举	天时地利人和
虎跃龙骧鹏举	花明柳暗春浓
户户金花报喜	家家紫燕迎春
花艳春光无限	人勤幸福有期
华夏政通人杰	神州长治久安
欢歌笑语辞旧	爆竹花灯迎新
欢歌笑语辞旧	爆竹华灯迎新
欢炮声声报喜	红联对对迎春
欢庆高居大厦	喜迁遥念亲人
火树银花盛景	红梅绿柳新春
加强法制观念	发扬民主精神
家富国强民乐	春浓日暖花香
家家恭喜致富	人人庆贺安康
家家喜迎新纪	处处恭贺丰年
坚持团结奋斗	致力振兴中华
江山春色娇艳	祖国前程辉煌
江山千秋永固	大业百世其昌
江山万里皆春	祖国前程似锦
娇梅傲雪烂漫	嫩柳迎春多姿
节日人人共乐	江山处处皆春
借问春从何至	皆言福自群生
今日千家辞旧	明朝万户更新
景历风花雪月	岁迎春夏秋冬
景美年丰国瑞	春新日丽人欢
静坐常思己过	闲谈莫论人非
九域春光永驻	三江福水长流
九域同歌盛世	七音共庆丰年
旧岁悉除旧弊	新春大树新风
骏马秋风蓟北	杏花春雨江南
骏马四蹄击鼓	羚羊双角开春
开创千秋大业	绘成四化宏图
开拓路上春丽	改革枝头花繁
开拓路途春丽	革新枝上花荣
堪喜风光胜旧	欣逢世纪更新
孔雀开屏报喜	画眉欢唱迎春
孔雀开屏献美	画眉欢歌迎春
劳动创出世界	国家属于人民
乐看四化伟业	喜听八方春音
历尽酸甜苦辣	迎来洒脱风流
立志当怀虎胆	求知莫畏羊肠
丽水丽山丽景	新春新岁新人
两岸春光普照	千家瑞气盈门
两岸同期一统	九州共乐三春
两袖清风门第	四时和气人家
领略神州风采	颂吟改革华章
留下小龙胜景	迎来骏马新春
柳色年年相似	世态岁岁更新
柳下清琴皓月	花前益鸟春风
六合和平博爱	三江富裕常宁
龙腾千年华夏	蛇舞世纪新春
马去抬头见喜	羊来举步生风
马岁家家如意	羊年事事吉祥
马岁增添马劲	新年再绘新图
马啸英雄浩气	羊鸣世纪春光
满户晴光瑞气	一门福寿安康
梅报九州春色	旗开一代风流
梅蕊乐开五福	竹风喜报三多
美化金瓯壮丽	高悬玉镜光明
门畔山青水秀	院中鸟语花香
描绘千秋伟业	腾飞万里鹏程
描绘神奇世界	歌吟曲折人生
描绘中华特色	放飞大地春光
妙手描山绣水	雄心强国富民
民族昌盛富强	祖国兴旺发达
民族精神不老	英雄本色升华
默默无闻做事	孜孜不倦读书
能者当家家福	腊梅报岁岁丰
年丰德茂福盛	家旺国兴人和
年丰人寿福满	鸟语花香春浓
年丰人寿福满	柳绿花香春浓
年年柳色相似	岁岁世态更新
品蛰逢雷欲奋	盘根久冻春回
千仞峦峰皆秀	万里江河竞流
千乡同歌国盛	万民共庆年丰
前程千帆竞发	盛世万象更新
前程绚丽似锦	好景明媚如春
前程绚丽似锦	好景明丽如春
勤创九州伟业	诚招四海英才
勤劳千载致福	和睦家庭幸福
勤乃发家妙策	俭为致富良方
勤探知识大海	勇攀科学高峰
庆幸一元夏始	祝福万户更新
犬吠佞人丧胆	鸡鸣玉宇生辉
人靠勤劳致富	家因和睦生财
人勤六畜兴旺	智多五谷丰登
人寿国强家富	年丰花好月圆
人寿年丰福满	花香柳绿春浓
认认真真办事	清清白白做人
日丽风和春暖	党廉政善民安
日丽风和景艳	人欢马叫春新
日丽风和人乐	国强民富年丰
日丽风和雨润	龙腾虎跃霞飞
日暖风调雨顺	家和人寿年丰
日日生财有道	春春纳福无涯
瑞雪娇梅袅柳	新春美酒佳联
瑞雪松涛竹韵	春风鸟语花香
扫除拜金邪气	树立崇德佳风
山碧千峰竞翠	水清百舸争流
山碧千峰竞秀	水清百鸟争春
山青水秀春艳	花好月圆谷香
尚存金蛇灵气	重振龙马精神
设计匠心独运	铸机妙手成春
神州—派春色	祖国无限生机
神州青山不老	祖国红旗永飘
神州万里春风	盛世千秋伟业
升平岁辞戊辰	盛世春迎已巳
盛世民安业壮	神州虎跃龙腾
盛世千秋伟业	神州万里春风
时雨当春乃降	好花应时而开
世纪光华岁月	中华锦绣河山
事事随心称快	家家惬意欢欣
守法才能执政	无私方可当官
守法奉公遵纪	尊长爱幼敬贤
双手创造奇迹	一心夺去丰收
霜送晓寒侵被	笔连墨韵迎晨
水秀山明草茂	羊肥马壮春荣
水秀山青春艳	月圆花好谷香
舜犬重临华夏	犬年大展雄姿
四海旌旗映日	五湖战鼓催春
四化千秋鼎盛	九天万象更新
四化喜开国运	千方共庆家祥
四化蒸蒸日上	五业欣欣向荣
四季时时胜意	千家事事舒心
四序先临首祚	万家同得长春
松下清琴皓月	花边好鸟春风
送走一穷二白	迎来万紫千红
岁岁风调雨顺	年年物阜民康
岁岁三春得意	年年万事开心
缩千里为咫尺	联两地为一家
泰运频书大有	昌期幸际升平
堂前紫燕对语	户外黄莺联鸣
桃符窗花瑞雪	柳浪布谷春风
桃红复含春色	柳绿更带朝烟
桃杏春季争放	杜鹃夏季吐香
提倡五讲四美	建设精神文明
提高医疗质量	增进人民健康
天马横空出世	腊梅傲雪迎春
天启三春美景	人描四化宏图
铁石梅花气概	山川香草风流
铁水奔流报喜	钢花怒放迎春
同心同德建国	克勤克俭持家
万里江山如画	百年世纪长春
万马奔腾贺岁	五羊奋跃迎春
万众共迎旭日	九州同庆新春
为创甜蜜事业	何辞雨露风霜
为江山添秀色	与日月争光辉
唯俭唯勤创业	亦耕亦读传家
乌金黄土故地	白羊绿野新郊
物阜国强民富	天时地利人和
喜报英雄门第	春到光荣人家
喜报英雄门第	春归光荣人家
喜报英雄门第	春临光荣人家
喜爆声声报岁	红灯盏盏迎春
喜创千秋大业	殷期万众小康
喜看春光普照	笑迎泰运频来
喜纳工农雅意	精描马列宏图
喜鹊登枝祝福	灵羊及地呈祥
喜盈工农门第	春满劳动人家
细雨无声润物	和风会意迎春
显现英雄本色	顺应时代潮流
香梅含苞怒放	瑞雪吐絮迎春
笑问春归何处	喜看水绿江南
笑盈盈辞旧岁	喜滋滋迎新春
笑语欢歌辞旧	华灯爆竹迎新
心似春花怒放	财如瑞雪翻飞
欣看四化伟业	喜闻八方佳音
新岁新光新景	春风春雨春花
胸有春秋全史	目无魏吴群雄
旭日横空出世	腊梅做雪迎春
悬鱼流芳百世	纳贿遗臭万年
雪白梅红柳绿	政通世顺人和
雪片纷纷凝瑞	马蹄得得报春
雪瑞年丰福满	人欢马叫春浓
雪映梅花更艳	春归柳色尤青
雪映一天春碧	云浮四海清晖
燕雀应思壮志	梅兰珍重年华
燕尾点波绿皱	莺嘴啄花红流
燕子争泥黄坡	人家晒网绿洲
养成勤俭美德	树立俭朴新风
一刻莫闲岁月	十分珍重年华
一院芝兰瑞气	万家杨柳春风
亿众赤心向党	万千花朵朝阳
艺苑百花争艳	文坛万象更新
溢彩流光岁月	知书达理人家
迎春丹青焕彩	辞岁翰墨飘香
有竹有梅门第	半村半廓人家
与松竹梅交友	择兰荷菊为邻
雨过青山吐翠	风来碧野飘香
愿为河山添锦	敢与日月争辉
月明五湖曙色	潮满三江春光
月圆常念家国	花好倍思眷亲
阅尽人间春色	领先时代潮流
展现民族特色	弘扬时代精神
珍惜黄金时代	莫负锦绣年华
珍惜青春岁月	追求精彩人生
正正堂堂行事	清清白白作人
政惠九州祥瑞	人和四海康宁
政清山河似锦	国富岁月如花
政清星辰耀彩	国富日月增辉
致富条条是道	国强步步登天
种养择优发展	产销配套成龙
竹报一元复始	花开四化初成
竹露松风蕉雨	清茶琴韵书生
壮志五湖四海	春光一刻千金
子岁先登富路	丑年再上新阶
紫燕黄莺布谷	红梅绿柳迎春
祖国繁荣昌盛	人民福寿安康
祖国风光绚丽	人民福寿安宁
祖国河山竞秀	人民天下长春
祖国河山似锦	神州大地皆春
祖国江山如画	人民事业同春
祖国前程无量	人民奋发有为
祖国山河壮美	神州春意盎然
祖国山明水秀	中华人杰地灵
祖国山青水秀	中华人杰地灵
祖国与天齐寿	人民同地永宁
最喜年春并至	堪欣福寿同增
最幸春光有主	还欣瑞气无边
昨夜彩云追月	今朝爆竹迎春
昨夜春风入户	今朝喜气盈门
爱幼尊翁中华美德	和邻睦里社会新风
安定团结人心所向	正本清源国运必兴
百年大计树人为本	万里长征立志当先
百业兴昌欣逢盛世	万民愉悦喜接新年
柏叶为铭椒花献瑞	龙缠肇岁凤纪书元
邦兴国治鸡唱门庭	春暖花开犬蹲院里
宝地祥光开泰鸿运	天时地利门庭大吉
宝地钟秀年丰物阜	圣哲通灵人慧德清
爆竹梅花有声有色	金戈铁马无虑无忧
爆竹千声同辞旧岁	梅花一点独报新春
爆竹声声红梅点点	莺歌阵阵绿柳悠悠
爆竹声声普天同庆	金鼓咚咚万众欢腾
爆竹声中百花竞艳	红旗飘处万象更新
爆竹数声花明柳媚	春风一度雪化冰融
爆竹送走一穷二白	春风迎来万紫千红
北斗光明春台起凤	南溟壮阔羊角搏鹏
北国南疆八方锦绣	东桃西桂四季芬芳
蓓蕾初绽一年伊始	芳草新萌四季长春
比勤赛富千家盈喜	迎春接福万户纳祥
碧草白羊三春图画	金戈铁马万里征途
碧杨垂岸莺歌燕语	红杏出墙蝶舞蜂忙
璧合金瓯神州焕彩	龙腾玉宇世纪更新
边疆儿女胸怀祖国	各族人民心向北京
鞭炮声声高歌幸福	春联幅幅恭贺新年
丙穴鱼生人间改岁	寅方斗指天下皆春
不知索取只知奉献	勿问收获但问耕耘
布谷鸣春人勤物阜	瑞狮舞彩国富年丰
策马行空与时俱进	还羊务实举国小康
姹紫嫣红五湖春满	安居乐业十亿民康
长城雄姿松柏体魄	钢铁意志龙马精神
长春树独茂勤劳第	幸福花只开和睦家
乘东风踏平万里浪	扬海螺威震九重天
乘风扬帆渔歌腾浪	归舟破浪锦鳞满仓
赤帜拂天日新月异	青松拔地人寿年丰
除恶惩贪祛邪扶正	兴廉反腐激浊扬清
除夕立春同日双庆	随时进步一刻千金
处处春风花开富贵	家家笑语礼尚文明
春蚕织成满园锦绣	红烛点燃一代心灵
春催神州百花争艳	光耀华夏群龙竞飞
春到神州百花吐艳	香飘原野万物生辉
春风吹暖英雄门第	喜报映红光荣人家
春风春雨春花灿灿	喜酒喜歌喜气洋洋
春风春雨春色灿烂	新年新岁新景辉煌
春风春雨风调雨顺	爱国爱民国泰民安
春风春雨宜人春色	新人新事治事新风
春风得意马驰千里	煦日扬辉光照万家
春风得意马驰千里	旭日扬辉光照万家
春风浩荡花香鸟语	岁月峥嵘虎跃龙腾
春风化春雨添春色	新年树新风出新人
春风送暖百花争妍	瑞气迎祥万物生辉
挑重担心怀千里志	顾大局胸有一盘棋
铁面无私一身正气	秉公执法两袖清风
同心同德宏图再展	群策群力快马加鞭
兔腾大地清辉万里	龙舞长空捷报千传
兔跃蟾宫更新世纪	龙巡禹甸布福乾坤
推剪刮剃使您满意	烫吹洗理令尔称心
吞云吐雾金龙崛起	展志舒情彩凤腾飞
脱贫致富科学引路	改地换天技术当先
万户春风礼陶乐淑	三阳景运人寿年丰
万里春风峥嵘岁月	一庭瑞雪抖擞精神
万里蓝天群星灿烂	九州大地百业繁荣
万象更新精神奋发	百花齐放春满人间
万象更新山青水秀	五羊献瑞日丽春华
万象更新无山不秀	一元复始有水皆清
万众一心排山倒海	全民协力改地换天
万紫千红百花齐放	三江四海五谷丰登
万紫千红百花争艳	五湖四海一体同春
万紫千红满园春色	五讲四美遍地新风
望天宇八方清似玉	喜人间四季暖如春
为民办事一尘不染	替众分忧两袖清风
为人师表诲而不倦	替国树才教必有方
伟大祖国蒸蒸日上	锦绣河山欣欣向荣
文明巷陌和衷共济	道德邻居风雨同舟
五环辉映奥梦圆满	十亿激昂国魂壮威
五羊献瑞江天溢彩	百凤朝阳岁月流金
五岳峥嵘雄狮奋起	九州激荡巨龙腾飞
物阜年丰春临大地	山欢水笑气贯长虹
喜报吉祥辉煌灯火	春风和煦勤奋人家
喜看大地莺歌燕舞	笑迎农家马壮牛欢
喜气光临警察门庭	鲜花开在光荣人家
喜庆新春闻鸡起舞	欣逢盛世跃马扬鞭
喜盈门天乐人亦乐	春及第马驰志也驰
喜盈门天乐人亦乐	春及第花开心亦开
喜盈四海山河巨变	花漫九州岁月更新
细雨和风田园景色	青山绿水诗画农家
贤明治世广施德惠	科教兴邦独领风骚
香港归宗风和日丽	神州雪耻水笑山欢
香港归宗普天共庆	陆台联袂两岸同心
香港回归金汤永固	中华崛起玉宇澄清
香港回归山河竞秀	中华崛起大地争辉
香水流香年年献瑞	港人治港事事呈祥
祥光普照百花添艳	福地回春万物更新
祥瑞迎门乐无止境	牛羊满圈喜不胜收
祥云兆日舒心盛世	芳草迎春如意年华
小康富路风光无限	大治宏图春色满园
笑舞东风松梅竞秀	喜沾春雨桃李争妍
辛岁迎春流金溢彩	巳年跨纪策马扬鞭
新来世纪这般美好	故有江山如此多娇
新世纪江山腾锦绣	大中华事业竞辉煌
新岁开头抬头见喜	履端迈步动步生财
新岁新居喜出望外	故人故地乐在其中
新岁新人新歌盈耳	春风春雨春色满园
新中国跨上千里马	众英毫描绘四化图
杏花村里香飘四海	竹叶杯中甜溢五洲
幸福家庭丰衣足食	文明社会正气清风
幸福家庭幸福美景	文明社会文明新风
旭日东升一元复始	鸿图大展万象更新
旭日蓝图豪情壮志	春风时雨泽国惠民
旭日祥云千门竞盛	春风化雨万物争荣
旭日扬辉普天同庆	东风解冻大地皆春
旭日永临文明门第	春风常驻勤俭人家
选贤任能维才是举	励精图治振兴在望
学无止境发挥余热	老有所为报答党恩
雪满千岩山高月小	春来万里水流花开
雪飘故里人财两旺	日暖新居福寿双全
言谈和气热情似火	举止文明欢笑如春
燕舞莺歌喜盈在地	桃欢李笑春满校园
羊欢马跃山川易旧	燕舞莺歌岁月更新
阳春美景山河绚丽	大块文章岁月增新
一代风流九州生色	八方锦绣四季呈祥
一代英豪九州生色	八方捷报四季呈祥
一国两制同迎佳节	四海五湖共贺新春
一纪开端共迎金鼠	三春肇始同举玉杯
一九九九民欢国庆	二零零零虎跃龙腾
一派生机阳春映日	满天焕彩浩气腾云
一派生机阳春有脚	满天异彩浩气腾胸
一身正气与民造福	两袖清风为国争光
一县芳名贾商似海	三江春水福寿如潮
一夜报春百花齐放	三阳开道万马奔腾
乙木逢春枝繁叶茂	丑牛得草体壮膘肥
以念佛心证无生忍	将净土教度有缘人
溢彩流金河山似锦	穿红着绿岁月如花
迎新春盼江山一统	送旧岁期骨肉重圆
迎新春应赞猪为宝	辞旧岁莫忘犬看家
迎新年窗花映白雪	辞旧岁喜鹊闹红梅
迎羊送马百花锦簇	起凤腾蛟万代繁荣
拥政爱民丹心似火	兴邦报国壮志凌云
有勇才能降龙伏虎	无私方可扶正驱邪
雨露无私桃红柳绿	河山有主物阜民康
雨顺风调年丰物阜	政廉策善世盛业新
玉凤还巢年丰物阜	金龙起舞国富民殷
玉兔出行满天春色	山君归隐一路雄风
玉燕嬉春九州铺锦	金猴贺岁一国呈祥
玉宇澄清九州日丽	东风浩荡四化春新
玉宇气清鹰冲霄汉	神州春暖鲤跃龙门
育李培桃香飘万里	树人立国功著千秋
—元复始九州同庆	八方和协四季平安
月圆花好鸟飞鱼跃	雨顺风调马壮人欢
一轮红日千秋永照	四化蓝图万众同描
跃马迎春春风扑面	抬头见喜喜气盈门
云涌吉祥风吹和顺	花开如意竹报平安
载酒迎春春光丽丽	出门见喜喜气洋洋
泽被神州风调雨顺	安居乐土物阜年丰
宅边屋角瓜黄菜绿	池间河畔鸭大鹅肥
战地斗天勤能致富	节衣缩食俭可养廉
招手迎春春风拂面	抬头见喜喜气盈门
珍惜海晏河清盛世	描绘国强民富宏图
真为生死发菩提心	以深信愿持佛名号
枕戈待旦心存岗哨	戴月披星志在山河
振兴中华千帆竞发	建设祖国万众争先
政惠千家前程似锦	人和百族暖意如春
政民合手同织锦锈	天地齐声共唱繁荣
政善人和百业兴旺	风调雨顺五谷丰盈
政通人和百废俱举	风调雨顺万象更新
政通人和百废振兴	春暖花开千山呈荣
政通人和家齐国治	风调雨顺物阜民殷
政通人和万家康乐	春华秋实一片繁荣
枝头喜鹊扬眉报喜	雪里春梅翘首迎春
执法秉公清风两袖	从政无私正气一身
植树造林千山叠翠	修渠垒堰万水扬波
植树造林青山不老	修旧改土绿水长流
指点江山春光满目	激扬文字彩笔生花
中华儿女顶天立地	华夏子孙革故鼎新
中华经济一枝独秀	西部辽原万马争雄
中华崛起宏图壮丽	民族振兴大业辉煌
中华崛起山河竞秀	民族振兴日月争辉
重教兴华光弥六合	呕心沥血名振千秋
