铁	煤
虎啸风生摇遍地	龙行雨下润中天
正是莺歌燕舞日	恰逢花好月圆时
春光映院花容艳	喜气满堂人意和
杏坛春暖花并蒂	兰闺日晴燕双飞
红杏枝头春意满	彩门楼下玉箫清
眉黛春生杨柳绿	玉楼人映桃花红
香梅迎春灯结彩	喜气入户月初圆
春临大地迎新岁	喜到人间贺佳期
乐新春丰年宴客	庆喜日盛世联姻
佳儿佳女成佳偶	春日春人舞春风
春花绣出鸳鸯谱	明月香斟琥珀杯
彩日流辉迎凤辇	祥云呈瑞覆鸾妆
春风春雨春常在	喜日喜人喜事多
桃符新换迎春帖	椒酒还斟合卺杯
柳暗花明春正半	珠联璧合影成双
春露滋培连理树	春风吹放合欢花
花开宝镜祥云霭	乐奏璚箫彩凤来
红桃宜插新人鬓	翠柳巧成同心结
喜得古占偕下凤	幸逢快婿说乘龙
花好月圆欣喜日	桃红柳绿幸福时
蝶趁好花欣结伴	人舞盛世喜成亲
秦晋联姻春意闹	凤凰比翼彩虹飞
紫箫吹彻蓝桥月	翠鸟翔还彩屋春
小院更新承德政	合家祝福话天伦
莺声到此鸣金谷	麟趾于今步玉堂
旭日乍临家室乐	和风初度物华新
移门欲就山当枕	迁居常将水作琴
里有仁风春意永	家余德泽福运长
基实奠定千秋业	柱正撑起万年梁
燕过重门留好语	莺迁乔木报佳音
四合宅院花馨满	五德人家笑语喧
向阳庭院风光好	勤劳人家幸福多
使我有名全是酒	使君到处便开颜
美酒开坛闻气醉	佳肴上桌透心香
岛人煮酒观樱放	仙客吟诗踏浪来
茶余喜论经营事	酒后倍增创业情
名世大文酒德颂	传家天爵醉乡侯
金杯酒泛珍珠滟	雀舌茶烹玉盏清
予意云何云何法	我闻如是如是观
虹桥树合楼双峙	燕谷天开涧半湾
吴楚江山通广运	华严楼阁总悬居
吴会名园此第一	云林画本旧无双
图画来从门洞里	山川尽在掌心中
曲径每过三益友	小庭长对四时花
楼台金碧将军画	水木清华仆射诗
骏马却驮痴汉走	美妻常伴拙夫眠
四化凯歌盈大地	三中喜讯遍神州
世纪更新迎大治	江山依旧荡春风
时节年年都一样	事功件件不寻常
养虎果能贻大患	熟猿宁足祭先生
四面青山三面水	一城绿柳满城花
作诗颇似六一语	细草犹开三两花
金炉两耳三只脚	铁茅四瓣一条心
宝塔七层三宝地	云台八级五云中
黄河浊水三三曲	青草流沙六六湾
绿云十里三春草	黄土一堆万卷书
我为黄浦江边客	君是红楼梦里人
益者三友松竹梅	加我数年解会状
无贤不是朱门客	有子皆如玉树枝
宗传姬旦家声远	学绍濂溪道脉长
太行浩气传千古	猛士如云唱大风
弓力千钧东风劲	长空万里北斗明
一林松月多诗兴	千里云烟入画图
九居世泽传名远	百忍家声播惠长
伤寒贯珠传万世	金匮要略救千家
功高固原独目将	名列南宋四大家
将军更解神谶字	太史合书大有年
江上飞云来北固	湖连沧海欲东游
拣茶为款同心友	筑室因藏善本书
独爱诗篇超物象	只因山水与精神
文名旧许高清汉	仙籍新题近赤松
诗成掷笔仰天笑	酒醋拔剑斫地歌
常山骄子英雄胆	松雪道人绝妙书
蜀中曾继如龙相	湘上今传伏虎名
花色遍四封之丽	竹阴留三径之清
松竹犹存三径菊	公琰自非百里才
邦显碧岩三绝画	廷锡集成万卷书
妙曲吹开百花艳	神姿舞得万民欢
于此间少得佳趣	恨我生不见古人
假笑啼中真面目	新笙歌里古今冠
暗里有人牵线索	居然见客振衣冠
父老闲来消白昼	儿童归去话黄昏
光耀九天能夺月	辉腾斗室胜悬珠
月明楼上珍珠卷	风袅窗前翡翠垂
丝纶阁下语文章	静罗绮中花样新
桥边角去留侯取	天半飞来叶令归
慈母手中新擘缕	美人灯下细穿针
雨师若为淮山石	洗出芙蓉九点青
风景不殊江左右	湖山还忆浙东西
一池春夏秋冬水	满苑东西南北花
上有青冥窥一线	下临白浪吼千川
野鸡坨上家鸡叫	白草洼中绿草生
京城内外巡捕营	礼部南北会同馆
之字路偏要人走	洞中怪生出你来
山河奄有中华地	日月重开一统天
窗外日光弹指过	席前花影座间移
花影不离身左右	鸟声只在耳东西
三间东倒西歪屋	一个南腔北调人
是非只为多开口	烦恼皆因巧弄舌
传家节操同松竹	报国勋功并斗山
闭门推出窗前月	投石冲开水底天
断送落花三月雨	摧残杨柳九秋霜
合家畅饮新婚酒	夫妇同吟比翼诗
短墙披藤隔闹市	小桥流水连酒家
佳肴美酒君莫醉	真情实意客常来
酒间吟诗字句香	醉后挥墨笔生花
三杯入腹浑身爽	一滴沾唇满口香
一杯香露落入口	千粒珍珠滚下喉
琼浆玉液名天下	闻香不禁口流涎
陈酿美酒迎风醉	琼浆玉液透瓶香
酒香十里春无价	醉买三杯梦也甜
酒泉芳香眠龙凤	杜康甘醇醉神仙
酒沿白雪春酿雨	半池秋水海涵量
仙醴酿成天上露	香风占到世间春
登门亲尝饭菜美	过街留步闻酒香
佳肴美酒餐厨满	送客迎宾座不虚
经济小吃饱暖快	酒肴大宴余味长
翁所乐者山水也	客所知者风月乎
大开酒肠使神醉	稍敞襟袍令心宽
海盟山誓期百岁	情投意合乐千觞
几处笙歌留朗月	万家酒果乐中秋
笙歌曲中千家月	凤酒香里万颗珠
清泉绕砌琴三叠	翠篌含风管六鸣
妙示真如空色相	净开正觉摄声闻
文兼两汉三唐际	贵比黄金白璧多
宝范流慈辉紫极	珠宫耀彩丽青霄
元功佑辑横流定	大德帡资兆姓安
青春有限志无限	岁月无情人有情
索笑岂无拈笑手	解铃须是系铃人
前情谅解都如梦	后景重欢总是春
六花雪映双全女	五色云拥四有人
绣阁烛映鸳鸯立	花坛影偕蝴蝶飞
十全其美恩情侣	二燕齐飞碧宇春
二喜临门幸福至	三星在户新人来
水能性澹为吾友	竹解心虚是我师
三径绿树人醉竹	百花红处客寻春
七十更强歌战士	万方救难赖人师
骑鲸去后行云黯	化鹤归来霁月寒
英雄志向实伟大	勇气流血最光荣
今朝喜降嫦娥女	他岁笑看穆桂英
题诗雅有高人和	吹笛闲寻野鹤听
一纬须为嫠妇恤	半生常与布衣交
春风化雨弹琴手	秋夕闲阶觅句人
芳草有情牵戏蝶	飞花无主寄骚人
堂前乍见浑如昨	帐里回思恍似新
两小合欢红玉锦	一堂寿庆白头翁
艾叶香浓笼彩帏	榴花色艳映斑衣
二英相爱结佳偶	两姓同心展大猷
二姓情人成眷属	八方新友贺新婚
云间树色千花满	竹里泉声百道飞
花雨静漂空色外	心珠长印摩尼中
历下亭中坐怀古	鹊华桥畔静观棋
公朴为民主而死	民主为公朴而生
龙隐海天云万里	鹤归华表月三更
半子无依何所赖	东床有泪几时干
瓜瓞远绵征夏日	芝兰新茁似春初
藏胸丘壑知无尽	过眼烟云且等闲
欲除后悔先修己	各有因缘莫羡人
梅赠春风逢驿使	葭逢秋水送鸿邮
辽水霞光铺彩锦	园风朗月映辉春
湖边艇子冲烟去	天畔青山隔雨看
欲知世上丝纶美	试看机头组织工
几番磨琢方成器	毕世耕耘自有功
根深不怕风摇动	树正何愁月影斜
大肚能容天下事	善心不染世间尘
江淮河汉思明德	精一危微见道心
花外子规燕市月	柳边精卫浙江潮
古佛由来皆铁汉	凡夫但说是金身
结泉阁今园作环	衔湖山古井为中
明月清风怀入梦	残山余水读遗诗
几载炎凉酬夙愿	千般苦乐寄此门
志趣偕流寻共路	世缘相结乐同春
芝兰玉树竞娟秀	青鸟蟠桃共岁华
仙家日月壶公酒	名士风流太传诗
乐意相关情对雨	生香不断树交花
星河界里星河转	日月楼中日月长
依山伴石居若泰	临水傍泉隐如仙
且喜两家共平善	欲倾四海洗乾坤
白首壮志驯大海	青春浩气走千山
才高自觉风云阔	情重反疑华岳轻
心如能了事方了	生尚云浮名更浮
华堂晓听云璈响	鸿案新餐雪藕香
翻经留作将来眼	问法能空现在身
海到无边天是岸	山登绝顶雪为峰
送出柜台百祥货	献给人民一片心
三千岁月春常在	六一丰神古所稀
伉俪好合般般好	家庭新建样样新
可有余粮支旱潦	好将颗粒念王孙
墨花点笔晓云湿	芝草入帘春雨香
看似寻常最奇崛	成如容易却艰辛
从来好事天生险	自古瓜儿苦后甜
世间唯有读书好	天下无如行路难
到此即空还即色	迩时宜雨亦宜晴
风和璇阁恒春树	日暖萱庭长乐花
横眉冷对千夫指	俯首甘为孺子牛
天机所到都成趣	人力非关别有神
长大知才须有用	平常莫等指无名
梦里花仙觅奇句	山中木客解吟诗
落笔已吞云梦客	舒纸能吟万里风
石间坐久春云起	花底吟成夕照收
既有勋名惊海内	更携书剑客天涯
春归乔木浓荫茂	秋到黄花晚节香
春风丽日开画栋	绿柳红花掩门庭
休辞客路三千远	须念人生七十稀
巧逢七月初七日	寿祝千春又千秋
且喜莲房生贵子	还欣椿庭丽佳辰
凤落梧桐梧落凤	珠联璧合璧联珠
苍松翠柏沐喜气	玉树银枝迎新人
青庐交拜成双美	白首团圆到百年
宝马迎来云外客	香车送出月中仙
起程虽是小天地	创业如同大文章
酒楼开业逢盛世	贺客盈门颂吉祥
未许落花生大地	不叫灵雨洒空山
一身肝胆生无敌	百战灵威殁有神
春晓凝妆窥柳色	天寒同梦爱梅花
碧纱映月烹新茗	红袖添香读奇书
凤毛五色文章美	骏马千金声价荣
思想慈悲忘恶念	逍遥达道远迷途
龙出晓堂飞白雨	鹤归晴嶂破苍烟
巢父掉头不肯住	许由洗耳何曾来
伏虎须弥当洞口	青狮白象拥莲台
关情风月疑无路	闲话春波曲水亭
闾里讴歌闻乐恺	轩窗烟景遍清嘉
眼明写正群经字	脚健穿残万岭云
从来名士皆耽酒	未有佳人不爱书
半榻茶烟风定久	一帘花影月来初
楼边辟地栽西府	亭下编篱接草堂
阳春召我以烟景	吴越之间有具区
植树造林滋沃土	防风固沙护良田
学习勤奋争三好	德智优良树一流
黛画青山春不老	香添绣阁月重圆
父寿儿婚双庆度	婆欣媳娶满庭馨
寿辰联璧双重喜	菽水承欢百世昌
一阵乳香知母到	半窗桂子防风来
若是个金毛狮子	何必问碧眼胡人
结艾钗头轻战虎	夺标船首惯成龙
榴花彩绚朱明节	蒲叶香浮绿醑樽
榴裙萱黛增颜色	艾酒蒲浆记岁年
堂前萱草舒眉绿	石上榴花照眼红
来从山野鸟啼血	却向庭园花映红
雨丝愁见红心结	风片喜闻紫蕊香
风过依稀鸣玉磐	雨来仿佛洗金钟
绿艾悬门漆藻彩	青蒲注酒益芬芳
耀眼宏图灯映月	动人春色画中诗
三五星桥连月朔	万千灯火彻天街
笙歌声沸长春地	星月光回不夜天
淑气鸿喜家家乐	彩灯春花处处新
普雨法雨润一切	难行苦行为众生
常叹诸佛胜妙戒	增长众生清净心
度脱一切众生海	得成最上世间灯
开示众生见正道	犹如净眼观明珠
分别世界诸法相	安立众生净戒中
善说微妙寂静法	得生广大欢喜心
教化无量众生海	安住一切三昧门
于诸佛所修善法	以无上道化众生
满足一切大愿力	速成无上佛菩提
普令众生得法喜	犹如满月显高山
忘机烟水心无滓	得住蓬莱骨欲仙
嘉木随时皆入画	好山无面不当窗
人到孤山闲放鹤	客来别馆喜听鹂
酌酒赋诗相料理	种花移石自殷勤
梅雪松风清几席	竹窗书恍共烟波
日移花影侵棋局	风递花香入酒尊
左花右石身为伴	春韮秋菘手自栽
栽花准拟为诗客	看竹何须问主人
绿柳荫成啭莺舌	青蒲丛密闯鱼顋
惠山西指九峰麓	吴会南临一宿程
含雨泾云偏似重	隔湖烟屿望如浮
唐梨园首传雅剧	春柳社曾享大名
夏暑客思欹石枕	秋寒妇念寄边衣
秋雨一川淇澳竹	春风两岸武陵桃
劝君且吸杯中月	赠客诗缄谷口云
投鞭堪笑苻坚策	佩印当期季子荣
杨柳和烟彭泽县	桃花流水武陵溪
走来名利无双地	打出樊笼第一关
紫梨摘去从山北	丹荔传来自海南
一弯绿水渔村小	万里青山佛寺幽
春困有时因病酒	客中无日不思家
远岸未春飞柳絮	小窗和雨梦梨花
河阳使者求温造	蛮府参军见郝隆
官冷无人供美酒	天晴因客晒残书
官秩旧参荀秘监	风流好继谢宣城
试向丹砂回白发	待将黄卷换青钱
郎君下笔惊鹦鹉	帝子吹箫逐凤凰
诗无定律君应将	易可忘忧家有师
霜凋红叶林林瘦	雨熟黄染处处盈
养身唯有勤修炼	祛病还须早就医
万松月共衣珠朗	五夜风随禅锡鸣
未出土时便有节	及凌云处更虚心
冤枉难为老杜白	传闻又弄小桃红
大事业从头做起	好消息自耳得来
四世公卿绳祖武	一朝总统继孙文
不破坏焉能进步	大冲突乃有感情
熊希龄雄心不死	毛彦文茅舍顿开
风吹石硖迷龙眼	雨洒桂林润马蹄
火焚贡院状元焦	雷起谯门知府震
望切不妨人去远	心忙无奈马行迟
陇树飞来鹦鹉绿	池筠密处鹧鸪斑
唐库金线能化蝶	延津宝剑会成龙
霞唤武陵桃淡淡	烟荒隋堤柳绵绵
深宵望冷沙场月	边塞听残野戍笳
巢燕三春尝唤友	塞鸿八月始来宾
紫电青虹腾剑气	高山流水识琴心
蓝水远从千涧落	玉山高并两峰寒
携囊佳韵随时贮	荷锄沉酣到处埋
舞榭歌楼千万尺	竹篱茅舍两三家
豪饮客吞波府月	酣游人醉水中天
花径风来逢客访	柴扉月到有僧敲
春日园中莺恰恰	秋天塞外雁雍雍
池草入诗因有梦	海棠满恨为无香
八月好修攀桂斧	三春须系护花铃
三元及第才千顷	一品当朝禄万钟
丽水良金皆待冶	昆山美玉总须磨
风定落月闭不扫	霜余残叶湿难烧
四收列国群王伏	三筑高城众敌降
半榻清风宜午梦	一犁好雨趁春耕
丝剪芰荷开东沼	锦妆凫雁泛温泉
北牖当风停夏扇	南帘曝日省冬烘
壮士腰间三尺剑	男儿腹内五车书
牛女二星河左右	参商两曜斗西东
百年诗礼延余庆	万里风云入壮怀
白羽频挥闲客坐	乌纱半坠醉翁眠
洗耳尚逢高士笑	折腰肯受小儿怜
穿云采药闻仙人	踏雪寻梅策蹇驴
莺懒燕忙三月雨	蛩摧蝉退一天秋
留客酒杯应恨少	动人诗句不须多
孤山看鹤盘云下	蜀道闻猿向月啼
雨长苔痕侵壁砌	月移梅影上窗纱
几阵秋风能应侯	一犁春雨甚知时
万卷书容闲客览	一樽酒待故人倾
燕出帘边春寂寂	莺闻枕上漏珊珊
心褊小人长戚戚	礼多君子屡谦谦
秋首田中禾颖重	春余园内菜花馨
夹岸晓烟杨柳绿	满园春雨杏花红
岁冷松筠皆有节	春暄桃李本无言
花圃春残无客到	柴门夜永有僧敲
绿野耕夫春举耜	碧池渔父晚垂钩
挥毫分外能添彩	阿堵由来待点睛
山恋晴云无墨画	竹敲秋雨有声诗
千古风流今胜昔	一川水墨永传神
泼墨为山皆有意	看云出岫本无心
参天有势松方健	肖物能工石亦妍
粉黛染山川秀色	丹青夺造化神工
千峰图画收诗卷	一日文章拜布衣
翰墨所收皆气势	丹青难写是精神
境非真处皆为幻	俗到家时自入神
不羞老圃秋容淡	犹有寒花晚节香
奇书古画不谈价	幽梦清诗信有神
挥毫墨洒千峰雨	嘘气空腾五岳云
云淡雨香诗世界	水流花放画根源
一林松月多诗意	万里云烟入画图
白首壮心写大海	青春浩气画高山
笔舞龙飞书壮志	墨落云起赞群英
爱画有情常拜石	学书无日不临池
万方春色情中贮	千顷湖光笔端流
鹏起书林风九万	龙游艺苑字三千
长天夜散千山月	远水霞收万里云
月朵暮开无艳色	风茎时动有奇香
笔挥山水成春境	墨泼乾坤在画中
吐艳丹青皆有意	流香翰墨自多情
骨角切磋同励业	齿牙雕刻亦成材
巧手扎成珠蛱蝶	匠心嵌就玉鸳鸯
催花不用滋荣术	剪彩能深造物工
膝下披来能悦目	堂中看去亦舒怀
莫似世情如此滑	倘经髹沐更生光
得心应手工剞劂	铁画银勾锓枣梨
仙禽可以乐晨夕	凡鸟不敢说文章
雕龙妙技翻花样	叙雀闲情助竹林
玉待切磋方润泽	器宜磨琢始生光
礼貌待人人品厚	文明处世世情隆
紫白红黄皆悦目	麻棉毛葛总因时
凤吐丝纶成五彩	龙蟠锦绣灿千花
志在经纶承少伯	情耽湖海效元龙
何必章身夸锦绣	只须用意费缠绵
于今已掌丝纶美	他日还看黼黻奇
但向此中工布置	须知世界有炎凉
经纶有绪原同帛	衣被群生总赖棉
公道由来评物价	春风到处解人颐
但使精粗分物理	不从冷暖作人情
锦绣回文机上织	丹青尺幅袖中藏
云锦七襄供组织	华绸五色焕文章
不惜春光明锦绣	曾从晓日焕丝纶
运筹欲展经纶业	组织还成锦绣文
勤劳换得丰收果	改革浇成幸福花
轧轧机声听巷里	花花世界说人间
剪裁得体称魁手	式样翻新数此家
挂牌服务人皆喜	价码标明客自多
愿为群众经纶业	特著顾客衣被功
人往人来皆笑脸	店中店外尽欢声
开放一桥驰万马	承包两字富千门
喜迎南北东西客	呈上弟兄姐妹情
也无暴利也无假	但有真诚但有情
店堂多备时新货	营业加强责任心
送出柜台千种货	献呈商店一段情
古涧风回千壑响	寒潭影落万松枝
户户皆为清洁户	人人都是健康人
除四害延年益寿	送瘟神玉宇澄清
能将运动驱奇病	巧使卫生保健康
书画同源扬国艺	图文并茂益书生
诸子千家罗万卷	百科四库集三秦
病灾不染卫生地	福寿常临康健家
莫说架中皆白纸	须知文内尽黄金
城市清洁环境美	山河壮丽画图新
神农本草香千里	歧伯医风播五洲
施妙术消灾去病	献热心救死扶伤
借他万国九州药	救我呻吟痛苦人
草医草药留春色	白帽白衣映赤心
内外科临床为本	中西药对症才灵
愿作善人行善事	不为良相作良医
幸福皆因政策好	财源恰是储存多
妙药银针除病痛	丹心圣手保安康
济困扶危唯药妙	回生起死在医良
春归北国醒芳草	冬去牧区红百花
粮果遍山千里秀	豆瓜满架一堂香
牧牛曲里风光美	花草丛中春意浓
帐前雪酿丰收酒	马上鞭催锦绣春
林外钟沉知寺远	柳边人歇待船归
黄梅时节家家雨	青草池塘处处蛙
窗台远色通书幌	玉带东风洗画屏
疏钟声远流何处	明月多情在此间
两岸花柳全依水	一路楼台直到山
平分造化双苞出	独占人间第一香
冉冉修篁依户牗	瞳瞳初日照楼台
池塘月撼美渠浪	罗绮晴娇水绿洲
月作主人梅作客	花为四壁船为家
舟将水动千寻日	树出湖东几点烟
狮林小仿倪高士	鱼种新分范大夫
诗意岂因今古异	山光长在有无中
偶然杯酒成千古	无数江山送六朝
山堂返棹留闲憩	画图开窗纳景光
当日风云随叱咤	至今草木识威名
山色湖光归一览	欧公坡老峙千秋
世间好语书说尽	天下名山僧占多
用心计较般般易	退步思量事事难
富贵定要安本分	贫穷切莫枉思量
生平只会量人短	何不回头把自量
利刀割体痕易合	恶语伤人恨难消
十个指头有长短	两边肩膀无高低
久病床前无孝于	富家山里有远亲
心病终须心药治	解铃还是系铃人
牛头不能对马嘴	狗嘴何曾出象牙
今年竹子来年笋	一个葫芦两个瓢
画虎画皮难画骨	知人知面不知心
鹤发初生千万寿	庭松应长子孙枝
凭槛东歌桃叶度	临街小饮杏花春
近瞰淮水沉如黛	远眺钟山起苍烟
管领湖山属儿女	平分楼阁坐王侯
古栝萌垂苔磴润	瑞莲香袭镜池清
延到秋光先得月	听残春雨不生波
三声焉喋阏氏血	五伐旗枭可汗头
昔日岳阳曾显迹	今朝虎阜再留踪
白堤宦迹诗中遇	绿水人家画里看
塔影峦光楼阁上	花辰月午画图来
皎月放空聊憩息	清风徐拂足淹留
高柯嘉荫盘陀石	曲槛清音觱沸泉
亭临流水地斯趣	室有幽兰人亦清
四面岚光俱入座	一轮蟾影恰当帘
山光茂苑来书几	柳色金阊入画图
吟风啸月无双士	绿水青山第一楼
翠竹苍松全寿相	清泉白石养天和
水滚石流非是果	柳藏莺宿未为花
每临大事有静气	不信今时无古贤
万卷诗书我还读	一时风月向谁谈
小楼昨夜听春雨	深巷今朝开杏花
棠棣齐开千载好	椿萱并茂万年长
千条杨柳随风绿	万里山河映日红
好书悟后三更月	良友来时四座春
秦台有凤凭吹引	暖寝留熊待梦征
入座三杯醉者也	出门一拱歪之乎
台前有泪原非我	座上无声已入神
天边已满一轮月	世上同钟百岁人
人喜家欣天下喜	山欢水笑神州欢
喜酒香浮蒲酒绿	榴花艳映佩花红
雨后双禽来占竹	秋深一蝶下寻花
三更月冷鹃犹泣	万里云空鹤自飞
一纸新闻孚众望	千秋大业记征程
蟠桃子结三千岁	萱草花开八百春
大畜革离睽小畜	家人临困涣同人
五味咸酸甘苦辛	七音宫商角徵羽
师姑田上担禾上	美女堂前抱绣裁
八千余年上下古	七十二家文字奇
五行金木水火土	四位公侯伯子男
五事貌言视听思	七音宫商角徵羽
藏书何止三万卷	种树须教四十围
题纸发来九五扣	门包退出两三回
一回酒渴思吞海	几度诗狂欲上天
一溪萍藻千秋泽	万点桃花百仞岗
一片苍茫来眼底	万家忧乐到心头
一福二命三风水	百响千尊万圣人
二分山色八分水	五斗一名八斗才
七黑八暗皆为夜	万紫千红总是春
莫思世上无穷事	且尽眼前有限杯
仙醴醉成天上露	香风占尽世间春
地角天涯千里客	五湖四海一家亲
一楼风月当酣饮	万里溪山豁醉眸
座上月明斟绿蚁	篱边人醉咏黄花
花映玉壶红影荡	月窥银瓮紫光浮
此处有家乡风月	举杯皆故土人情
瓮畔夜风眠吏部	楼头春色醉人间
旨酒佳肴迎上客	软菘醉韭待行人
水陆兼呈皆上味	宾朋尽兴共加餐
多把芳菲汛老酒	已见沧海为桑田
名震塞北三千里	味压江南十二楼
随来随吃如流水	有饭有汤供客人
面似银蛇盘内舞	馍如玉兔月中蹲
无人不道佳肴美	有客常来满座春
五味烹调香千里	三餐饭美乐万家
满面春风宾客喜	贴心服务饭菜香
学得易牙烹饪技	恭捧成式饱人心
胜友常临修食谱	高朋雅会备山珍
当年歧秀曾歌梦	今日堆机似出云
美味常招云外客	清香能引月中仙
五湖四海宾朋至	一日三餐饭菜香
同是佳餐独有味	皆言接待尽多亲
尽多风味开琼宴	常有冰心在玉壶
饭热菜香迎客早	桌明杯净映春红
鸡嫩肉肥年景好	饭香菜美春光媚
形味色香多雅趣	烹烧蒸煮俱清香
范围尽载梓人意	物用胥归大匠门
参禅更比蒲团好	款客非同草席陈
金碧丹青好颜色	门闾陈设闪光辉
雨卷珍珠璇阁晓	风开斑竹画堂春
用规折矩多材料	斗角钩心竭艺能
墨线调成诸器就	斧头落下一梁成
人寿年丰彼此重	龟鹤遐龄一幅同
紫气辉煌双鹤寿	春风浩荡百花香
儿童乐园无限好	祖国花朵别样红
四化新苗经雨秀	三春花朵向阳花
开卷神游千载上	望帘心在万山中
人世难逢开口笑	老夫聊发少年狂
瑶池喜晋千年酒	海屋欣添百岁筹
有酒敬邀宾客醉	无鱼难尽主人情
雏燕呢喃歌大喜	榴花放彩映红妆
五岭春明堪驻马	四山云霁听鸣鸠
山水之间有清契	林亭以外无世情
漫漫长夜何时旦	瑟瑟高风不计年
宝鼎沉香浮柏子	玉壶春水浸梅花
先辈著书谈口技	后人研究乃相声
八大到今真不死	半千而后又何人
独有英雄驱虎豹	敢教日月换新天
李白借问谁家好	刘伶还言此处佳
苏子条芩访禅友	杜仲草果宴寿客
门前绿水流将去	宅后紫莺祝贺来
十香车拥门生彩	八骏马驰凤嫁龙
苏学士前传谪宦	孟夫子后拜先生
急水与天争入海	乱云随日共沉山
山川寄迹原非我	天地为庐亦借人
朝闻道夕死可矣	今而后吾知免夫
人间未遂青云志	天上先成白玉楼
荧窗虽小观今古	屏镜呈方映乾坤
福来绿竹抱新笋	喜见红楼藏玉珍
西望瑶池降王母	南极老人应寿昌
兰桂腾芳开寿域	儿孙英俊继家声
使有菽粟似水火	能以天下如一家
贺四海园艺荟萃	庆三峡石刻聚展
五六月间无暑气	二三更里有书声
小筑虚亭添野景	闲将遗事说先朝
座上同歌花烛喜	房中独占凤鸾俦
称觞共庆千秋节	祝嘏高悬百寿图
改嫁有识排旧陋	续弦尤胜乐新欢
一声清磬动耶静	万叠浮云假也真
一盏寒泉荐秋菊	三更画船穿藕花
烟水此间真酒地	风光今日是诗天
墨翻衫袖吾方醉	腹有诗书气自华
川媚山辉蓝玉朗	天高月满蚌珠肥
身似西方无量佛	寿比南岳老人星
吏治牧羊夸猛虎	军家捕鼠养馋猫
松排山面千重翠	月点波心一颗珠
三岁儿童能识字	七旬老叟不通文
花间屡见翩翩蝶	世上何多碌碌人
小集宾僚同骨肉	纵谈改事即文章
桑梓游子常念旧	梧桐落叶终归根
天地仰昂龙虎气	雌雄争战帝王才
按脉察情通病理	开方施药除疾根
聚财兴国安黎庶	存款便民秉赤心
春睡最宜烧烛照	晓妆犹待卷帘看
三春风拂青桑叶	九夏雨肥赤槿花
山闲水静天无事	竹少兰初日有情
华厦生辉三春暖	锦堂添福五世昌
经学驾唐宋之上	其人在儒侠之间
平生事业鲁男子	半世风流孽海花
自入婿乡蒙厚爱	何堪甥馆杳慈云
峰顶大人嗟已矣	膝前半子痛何如
万牛回首丘山重	鲸鱼破浪沧溟开
匹夫犹耻国非国	百世以为公可公
白云老父无遗产	金色头陀有笑颜
三登庆元三人第	四入熙宁四辅中
载舞载歌松下客	和烟和露径边花
知识无涯须勤学	青春有限贵惜阴
游者当知山所向	静时犹有水能听
负笈跋涉赴胜地	忍饥耐寒求正宗
集资为九州四化	保险帮万户千家
河阳树茂青林翠	金谷花繁白雪香
瓣色艳娇分白紫	花香馥郁属椰蕉
丽人指染朱栏曲	金凤花栖碧梧枝
丹心可医病解痛	妙手能起死回生
琥珀盏斟千岁酒	琉璃瓶插四时花
羽冠唱晓人间白	锦衣经霜篱角红
三月光阴槐火换	二分消息杏花知
一篱绿绕含烟秀	千萼红开带雨香
使我开怀唯夜月	令人深省是晨钟
流水断桥芳草路	淡云微雨养花天
花木清香庭院翠	琴书雅趣画堂幽
丁年病入黄家路	午夜惊颓太岳峰
南州冠冕此其选	上古千秋可与俦
瑶台牒注长生字	蓬岛春开富贵花
凤凰枝上花如锦	松菊堂中人并年
昔日巾帼多贡献	当今妇女再登攀
千重林山真宝库	万重绿海活银行
不分伯仁由我死	再交公瑾待他生
几生修到梅花骨	一代争传柳絮才
西山白雪三城戌	南国红眉七镬开
穿花时见寻芳蝶	步月闲闻觅句人
有笔低头能作字	无心钓誉可为文
人得交游是风月	天开图画即江山
清白月来松有客	横斜梅补竹无花
转八识能成四智	解六结而越三空
万里飞鸿书致意	五洲通报电呈情
白衣红心称妙手	高术精艺治难疾
投保得保保无虑	防险抢险险化夷
春风潋滟黄金盏	凉月殷勤紫玉箫
祖国有山皆绿化	林区无处不清风
鸟欲娱人娇舌啭	花如爱客笑颜开
春林明媚李桃绽	芳圃清幽莺燕飞
爱竹不锄当路笋	惜花常护入帘枝
竹林葱郁千嶂翠	树海苍茫万顷涛
绿满林区山滴翠	春回茶场路飘香
秃岭荒山成昔日	青峰绿海看今朝
护林须晓造林苦	伐树当思种树难
千林鸟唱山增韵	四野花开果溢香
高岭苍茫低岭翠	幼林明媚母林幽
万壑松涛山雨过	千山花色水风生
植树为求千代福	护林因葆万山春
春风得意花千里	秋月扬辉桂一枝
牛壮猪肥六畜旺	粮丰林茂四时兴
青山不老山犹秀	碧水长流水愈娇
草绿花红锦绣地	粮丰林茂喜欢村
柳绿杏黄千载福	桃红松翠万年春
东风送暖千山绿	旭日生辉万壑春
土岭荒山披绿甲	草原大泽献奇珍
绿屏碧嶂遮风砾	林海雪原育栋梁
林高草茂牛羊壮	水秀山青稻麦丰
一片晓烟杨柳绿	满园春色杏桃红
百花园里珍禽舞	万木林中好鸟鸣
自闭桃源称太古	欲栽佳木柱长天
一年生计勤商酌	无限春光任剪裁
水绿山青光景好	花香草茂马牛肥
缫成白雪桑重绿	割尽黄云稻正青
地开美景春光好	人庆丰收喜气多
多少经营凭草海	无穷生意在桑麻
缀出珠球光灿烂	扎成花朵巧玲珑
