金牛贺岁	玉鼠回宫
岁降金龙蒙化雨	年逢惠政沐春风
天地神龙开盛纪	人间紫燕舞新春
兔辞胜岁传佳话	龙奋新程建大功
兔毫描绘江山画	龙目乐观世纪春
兔年捷报惊世界	龙岁雄风震乾坤
兔随冬去留春意	龙伴春来壮画图
万里春风苏绿野	八方喜雨起苍龙
万水千山凭虎跃	五湖四海任龙腾
万物呈祥荣盛世	九龙献瑞庆良辰
唯大英雄能伏虎	是真豪杰乃降龙
无边春色来天地	有志金龙越古今
昔年虎啸千山壮	今日龙腾四海春
喜报人间曾伏虎	新开世纪正腾龙
喜看龙年花千树	笑饮改革酒一杯
喜庆爆竹送玉兔	吉祥梅花迎金龙
喜兔岁九州丰稔	愿龙年百业昌荣
小康岁月多春意	大泽蛰龙起泰山
欣看大地千重秀	笑望巨龙四海飞
欣闻禹域鸣雏凤	喜看神州起卧龙
新岁迎来新世纪	大龙谱写大文章
幸福家庭龙虎卧	文明宅第子孙贤
旭日东升丹凤舞	中华崛起巨龙飞
学海潮头龙影动	书山路上凤声高
燕舞莺歌相比美	龙腾虎跃竞争先
一代龙人开盛纪	九州大地起宏图
一联壮我楹间色	万里腾龙海内春
一片惊涛龙出海	八方锦绣燕衔春
一元复始龙增岁	万物生辉燕报春
已去庚来腾瑞气	卯归辰至发祥光
英雄儿女鲲鹏志	锦绣江山龙虎姿
英雄自有凌云志	时代呼唤潜海龙
莺歌燕舞春光美	虎跃龙腾国事兴
迎龙年唯求国利	喜新政只为宜民
鱼跃龙门千业振	民奔富路万家欢
鱼跃鸢飞惊海宇	龙吟虎啸咤风云
玉兔呈欢辞旧岁	神龙跃起展鸿猷
玉兔呈祥留硕绩	金龙献瑞创辉煌
玉兔辞年传吉利	金龙贺岁保平安
玉兔回宫留福泽	金龙下界沐祯祥
玉兔回宫攀月桂	金龙浴日上云霄
玉兔升腾蟾阙里	金龙飞舞彩云间
云近紫台龙虎气	春回青苑凤麟游
云灵化鹤人增寿	海啸腾龙国有威
云龙上下驰东野	雪鹤飞扬入北山
指点江山扬国粹	笔挥风雨走龙蛇
中华儿女鲲鹏志	祖国江山龙虎姿
中华民族龙传世	百鸟成群凤向阳
中华跃日神龙舞	大地迎春紫燕飞
中华振兴巨龙舞	大地焕然万象新
装点江山凭妙手	更新世纪在龙年
紫气缭桐招凤落	春雷带雨壮龙腾
紫微祥气腾龙态	伟业宏图壮国威
紫燕飞来寻玉兔	黄鹂唱起戏金龙
紫燕庭前传吉语	金龙户外报佳音
昂首扬鬃腾浩气	奋蹄踏雪展春风
八骏风驰千里近	一年花发十分红
白马壮心奔大道	青春浩气献中华
百花齐放春光好	万马奔腾国步雄
百花齐放春光好	万马奔腾气象新
爆竹声声催快马	梅花朵朵笑春风
奔彼岸千帆竞渡	越坦途万马扬鞭
奔腾骏马驰大道	浩荡春风遍神州
伯乐明眸识好马	良才妙手展宏图
伯乐选贤识骏骥	英雄酬志效鲲鹏
策马前驱奔四化	闻鸡起舞超群英
车水马龙农家乐	花香鸟语大地春
车水马龙一路景	花香鸟语万家春
春返神州舒画卷	马腾盛世入诗篇
春风碧水双鸥静	旭日青山万马嘶
春风得意人得志	骏马扬蹄国扬威
春风化雨芭蕉翠	骏马登程杨柳青
春风骏马开新纪	大业宏图壮国威
春风送暖花千树	骏马扬蹄路万程
春风万里辞蛇岁	笑语千家入马年
春风笑逐福音至	天马喜随捷报飞
春光原自梅梢发	诗句竞于马背吟
春归禹甸风光美	马纵山河气势雄
春花吐艳香千里	快马加鞭跃九州
春江花月宜人景	龙马海风强国图
春日寻芳骑骏马	国家思治用贤才
春天点点芭蕉雨	马步声声杨柳风
春阳送暖芳菲地	骏马奔驰锦绣程
春寓枝头歌唤马	马驰大道喜迎春
春寓枝头迎佳节	福在心里接马年
辞年喜饮三蛇酒	贺岁争描八骏图
大道扬鞭驰骏马	高天阔地展雄才
大路长征驰骏马	中华伟业展雄才
大鹏俯视万春寨	天马驰骋五里街
大鹏欢喜天空阔	骏马何愁道路长
大鹏展翅青云路	骏马奔驰浩荡春
得意春风催骏马	及时惠雨润鲜花
东方古国红旗舞	大路长征骏马驰
冬去蛇留诗意里	春来马入画图中
冬去蛇留诗意美	春来马跃画图新
飞驰骏马鞭高举	欢庆新年酒满斟
风尘一路马蹄碎	爆竹千家春意浓
风光秀丽随春展	道路逶迤任马驰
伏枥犹存千里志	添翼更上九重天
福到门庭梅吐艳	马驰道路柳生烟
改革新潮催骏马	振兴大业起宏图
高天雪舞银蛇去	大地春归骏马来
庚晨日暖春来早	午院花香蝶舞忙
古柳荫中来走马	好花深处有鸣禽
豪情振笔歌新岁	骏马加鞭奔坦途
好借春风酬壮志	快催骏马跃前程
好凭妙手书鹏赋	当显雄才唱大风
好雨知时群卉盛	春风得意四蹄轻
红旗辉映神州地	骏马喜迎大治年
红旗招展九州画	骏马奔腾万里春
红旗指引强邦路	骏马驰骋富国途
红霞瑰丽铺云路	骏马奔腾荡柳烟
宏图锦绣众人绘	大道逶迤万马驰
鸿雁翔云迎旭日	青骝夺路起桃烟
花柳新春莺燕舞	风云盛世骏骐驰
花木向阳春不老	骅骝开道景无边
化雨携来龙露贵	踏花归去马蹄香
江涛气势风雷动	龙马精神世纪兴
捷报随雪飞梅上	蹄花染香到春头
金戈铁马奔大道	碧血丹心献中华
金蛇狂舞九州景	骏马欢腾四海春
金蛇起舞颂功去	骏马奔腾报捷来
金蛇喜舞九州富	骏马欢腾四海春
九天日暖张鹏翼	四野春新逐马蹄
举红旗旗开得胜	乘骏马马到成功
骏马奔腾春色丽	艳阳照耀岁华新
骏马奔腾千里路	新春更上一层楼
骏马奋蹄千里路	大鹏舒翼九重天
快马加鞭争朝夕	壮志凌云写春秋
蓝图全靠能人绘	骏马还凭伯乐挑
老骥常存千里志	夕阳惯照万重山
勒马开怀颂改革	迎春祝酒庆丰年
灵蛇匿迹飞青霭	天马行空驾白云
龙伴腊归留胜迹	骥随春到展宏图
龙马精神驰大道	鲲鹏志向搏高天
龙马精神壮四海	风云气象会三春
绿水青山迎宝马	红梅白雪送灵蛇
诚心乐作人间事	俯首甘为孺子牛
川原蝶舞翩翩好	田野牛耕户户忙
春到人间新燕舞	喜盈门第铁牛忙
春归大地黄牛跃	神轾人间紫燕飞
春临门户白雪化	福降人间黄牛忙
辞旧迎新除硕鼠	富民强国效勤牛
辞鼠修仓迎稻熟	催牛耙地促年丰
翠柳迎春千里绿	黄牛耕地万山金
当年禹甸多铜马	今日春郊遍铁牛
丁年鼠匿辉煌业	丑岁牛奔旖旎春
耕者有牛皆种地	神州无处不欢歌
横心誓扫官仓鼠	俯首甘为孺子牛
红梅傲雪千门福	碧野放牛五谷丰
户户厌恶大硕鼠	家家喜爱老黄牛
花开江左白雪尽	春到人间黄牛忙
花木逢春枝叶茂	牛羊得草体膘肥
黄牛吃草生新奶	紫燕衔泥筑小巢
黄牛舔犊芳草地	紫燕营巢杏花天
黄土田间牛作画	紫微春苑燕吟诗
茧花绽放漫山绿	牛背飘来一曲歌
金光大道人催马	黄土高坡口吆牛
金牛开出丰收景	喜鹊衔来幸福春
君子闻声心不忍	庖丁善解目无全
可染画牛牛得草	悲鸿放马马扬鞭
腊梅花放雪将尽	春水温升牛甚忙
老牛力尽丹心在	志士年衰赤胆悬
良策善政多俊杰	乳牛老骥竞风流
绿柳摇风燕织锦	红桃沐雨牛耕春
牧草丛中春色美	放牛曲里笑声甜
牧童牛背春香路	游子马蹄梦醉乡
年丰人寿家家乐	春到花开处处耕
牛奔马跃行千里	凤舞龙飞上九霄
牛鞭当笔填新句	鸟语作歌报福音
牛耕碧野千畦秀	人值芳龄百事亨
牛耕沃野千畦绿	鹊闹红梅万朵红
牛耕沃野千山笑	雪映红梅小院香
牛郎不厌天河阔	织女但求凡世欢
牛郎弄笛迎春曲	天女散花祝福图
牛年喜奏丰年乐	人世笑迎盛世春
牛主乾坤春浩荡	人逢喜庆气昂扬
人勤一世千川绿	牛奋四蹄万顷黄
人寿年丰百姓乐	地肥水美众牛欢
人寿年丰农家乐	地肥水美春牛歌
人物风流心向党	黄牛勤奋力耕田
三春淑景景无丑	四化励人人效牛
神州无处不放彩	农户有牛喜迎春
鼠报平安归玉宇	牛随吉瑞下天庭
鼠年不做官仓鼠	牛岁甘为孺子牛
鼠年谱就惊天曲	牛岁迎来动地诗
鼠去牛来辞旧岁	龙飞凤舞庆新春
绿野苍茫驰骏马	蓝天浩翰搏雄鹰
马奔大道风生响	春到农家雪吐香
马不停蹄传捷报	人行阔步闯雄关
马步青云迎旭日	羊腾绿野展雄风
马驰大路春如锦	鹰击长空气若虹
马逢伯乐驰千里	鹏过高天展万程
马叫人欢奔旭日	风驰电掣奋征程
马蹄得意奔新路	鹊语遂心报好音
马蹄捷报映晓日	燕语茑歌迎新年
马蹄声碎开新路	春酒味浓贺大年
梅花欢喜漫天雪	骏马奔驰一路春
美景前程欣骥足	高天浩宇快鹏心
门畔春色迎年秀	马前征途映眼新
门前春色迎人笑	路上蹄花映眼新
秣马厉兵操胜券	强邦兴国献良谋
南岭梅香迎岁至	东效草浅试蹄轻
鹏举长空九万里	马驰盛纪二千年
齐策战马迎新岁	满斟美酒贺丰年
骑马挎枪迎曙色	携春带福送人间
旗展五星四海笑	马奔万里九州春
千畴竞秀丰收景	万马奔腾改革图
千帆竞渡千重浪	万马奔腾万里春
千里江山春气象	一年锦绣马风光
千树春花争早放	万骑骏马着先鞭
青春壮丽辉天地	骐骥奔腾向未来
庆佳节九州同乐	贺新春万马奔腾
庆盛世雄狮起舞	展宏图快马加鞭
秋风古道题诗瘦	落日平原似马豪
人得春风牛得草	国扬威力马扬蹄
人欢马叫丰收岁	狮舞龙腾改革潮
人欢马叫升平世	燕语莺歌锦绣春
人强马壮康乐日	囤满仓盈富裕年
瑞霭盈门春在户	红旗引路马扬蹄
三春芳讯传莺口	万里东风逐马蹄
色借梅花香借雪	壮观骏马美观春
山舞银蛇梅吐艳	原驰骏马草含春
蛇辞禹甸三春丽	马跃神州百业兴
神笔马良画彩骏	慧眸伯乐选名驹
神驹轻踏春前草	小燕喜穿柳上风
十分春色辉天地	万马蹄花入画图
十里早莺鸣暖树	一群骏马跃雄关
时代强音催快马	中华特色壮金瓯
世纪春风吹绿野	中华神马啸新程
水如碧玉山如黛	人奋雄心马奋蹄
腾飞骏马奔千里	改革春风暖万家
腾海蛟龙频击浪	识途老马自扬蹄
蹄花千里沾晨露	柳浪万重叠夕阳
天高碧宇随鹏举	路远轻风任马驰
天马行空迎盛纪	黄莺戏柳报新春
挺身愿作长征马	俯首甘为孺子牛
鼠去牛来闻虎啸	民殷国富盼龙飞
鼠去牛来欣大治	龙腾虎跃奋新程
数声柳笛飘牛背	无限春光亮马蹄
数声牧笛传新曲	四野耕犁试早春
蹄奋不须鞭震耳	牛勤何用用当头
铁牛喘月平畴绿	赤帜啸风满地红
铁牛拖出满山宝	茧手挖来遍地金
挺身勇灭官仓鼠	俯首甘为孺子牛
土生白玉牛羊壮	地产黄金鸡犬欢
为民当效黄牛力	报国壮怀赤子心
未许田文轻策马	愿闻老子再骑牛
五岭莺歌又燕舞	九州马叫并牛欢
写完福字描春字	迎到金牛买铁牛
新春乐咏黄牛颂	小院频传喜鹊歌
新春人唱黄牛赞	丰岁诗吟白雪歌
新春喜作黄牛颂	旭日高悬致富门
新村喜盼铁牛到	农家笑望春燕飞
新岁牧歌需纵酒	黄牛奋进不着鞭
一曲牧歌传牛背	无边柳色绿村头
勇当改革排头兵	甘作人民孺子牛
有福人家牛报喜	无边春色燕衔来
有庆年头牛得草	无垠大道马扬蹄
玉鼠回宫传捷报	金牛奋地涌春潮
玉碗生光辉琥珀	金牛焕彩耀星辰
猪肥牛壮家家乐	燕舞莺歌处处春
猪肥牛壮家增福	食足衣丰民自安
子去丑来腾锦绣	鼠归牛到竞辉煌
万里清风舒画卷	一鞭神骏奋前程
万里征途千里马	十年树木百年人
万缕彩霞迎旭日	千匹骏马带朝烟
万马奔腾五彩路	百花齐放四时春
万马千军创大业	五湖四海涌春潮
伟业千秋人奋志	征途万里马嘶风
魏武挥鞭吟老骥	悲鸿泼墨画神驹
文明社会春风意	龙马精神海鸥姿
文明盛世飞春色	锦绣前程亮马蹄
文章须纳风云气	翰墨应催骏马图
无边春色百花艳	有庆年头万马驰
无须添足蛇归洞	不待扬鞭马奋蹄
午岁争迎千里马	新春更上一层楼
向阳花木三春秀	得意马蹄一路风
小龙大殿鹏飞志	骏马方乘改革风
小龙游罢清平世	骏马腾欢大有年
新春贴留吉祥草	骏马图挂墨韵斋
新骏扬鞭奔大道	亲朋酌酒贺丰年
新岁更腾千里马	壮心高展九霄鹏
雄关似铁千骑越	捷报如云万里飘
雄狮竞舞中华志	骏马奔腾民族风
雄心驯服腾云马	壮志敢擒出海龙
扬鞭策马开新纪	立志兴邦展壮猷
一代英豪图伟业	九州骏马踏雄风
一路马蹄花引蝶	万家春色柳闻莺
一任马蹄敲战鼓	几番旷野卷高尘
一夜春风来小院	千匹骏马闯雄关
银蛇带去峥嵘岁	骏马迎来锦绣春
银蛇喜送峥嵘岁	骏马欣迎锦绣春
银蛇蛰伏藏瑰宝	骏马腾飞起宏图
英才竞献兴邦策	骏马齐奔强国途
英雄骏马奔千里	浩荡春风暖万家
英雄魄力惊天地	龙马精神贯古今
英雄气概凌天宇	骏马雄风荡柳烟
莺歌柳浪千家笑	马踏春风一路花
莺歌燕舞芳菲节	马叫人欢婀娜春
莺歌燕舞芳菲节	马叫人欢艳阳春
莺歌杨柳枝枝秀	马跃前程步步高
鹰击长空抒远志	马驰碧野卷雄风
迎春策马声威壮	破浪扬帆气势雄
映日红霞浮白马	宜人春色到农家
有志宝驹奔大道	无边春色驻神州
院内红梅输白雪	途中赤兔步青云
跃马乘风奔大道	腾龙出海振神州
跃马日行九万里	腾龙历展二千年
跃马扬鞭抒壮志	耕云播雨夺丰收
张灯结彩迎春节	跃马扬鞭步小康
政策归心人振奋	春风得意马腾飞
政策英明民放胆	神驹腾飞国扬威
壮志凌云振鹏翼	扬鞭催马奔征程
紫气东来春得意	青云直上马扬蹄
八法龙蛇寻奥妙	万方翰墨出精微
笔走龙蛇资雅韵	诗题福寿贺新春
辰龙回宫欣报捷	巳蛇出洞喜迎新
辰岁腾飞惊广宇	巳年奋搏震寰球
城乡改革龙蛇舞	梅柳争春世纪新
出常山而雄岁月	腾大泽以壮神州
春风送暖蛇年好	瑞气盈门鹊语香
春花吐艳蛇生瑞	芝草含嫣鹿启祥
春帖相延新换旧	龙蛇交替瑞呈祥
春意盎然蛇起舞	民情振奋燕翻飞
大业中兴新世纪	宏图再展小龙年
大泽龙伏藏远志	莽原蛇蜕蕴生机
大展宏图华夏伟	新开世纪小龙飞
大治山河铺锦绣	小龙日月更辉煌
当代精英抒壮志	蛇年禹甸起宏图
当代英雄驱虎豹	崭新世纪舞龙蛇
丰年盛景龙蛇舞	新岁春光彩蝶飞
丰稔龙年留喜气	小康蛇岁溢春潮
丰收喜讯龙刚报	长寿灵芝蛇又衔
丰岁龙腾盈喜气	新年蛇跃涌春潮
风调雨顺年丰稔	龙去蛇来岁吉祥
风光无限蛇开泰	事业有为国展姿
风华正茂青春美	蛇岁呈欢世纪新
冯妇无憾重伏虎	颠客逞能赘画蛇
庚辰胜岁堂堂去	辛巳芳春鼎鼎来
金龙含珠辞旧岁	银蛇吐宝贺新春
金山水漫双蛇舞	绿野春归百鸟鸣
金蛇狂舞春添彩	紫燕翻飞柳泛青
金蛇狂舞丰收岁	玉燕喜迎幸福春
金蛇狂舞迎春曲	丹凤朝阳纳吉图
金蛇狂舞迎新纪	瑞雪纷飞兆好年
金蛇妙舞随金马	玉律清音溢玉堂
金蛇披彩新春到	喜鹊登梅幸福来
金蛇起舞春雷动	玉盏飞觞腊酒香
九州崛起龙蛇舞	十亿腾飞骐骥欢
灵蛇出洞吐春意	喜鹊登梅报福音
灵蛇飞舞千山秀	神骏奔腾九野新
灵蛇起舞迎新纪	快马加鞭奔富途
灵蛇有意降春雨	绿叶无私缀牡丹
龙抖雄姿归大海	蛇含瑞气报年华
龙归碧海波涛舞	蛇到青山草木新
龙回海底欣迎岁	蛇出山穴喜报春
龙驾祥云门敛福	蛇衔瑞草户迎春
龙留瑞气常萦户	蛇报福音久驻门
龙年共庆辉煌日	蛇岁同奔锦绣程
龙年国展腾飞志	蛇岁民抒奋发情
龙去蛇来吟古韵	莺歌燕舞谱新章
龙蛇共舞三春景	鸾凤齐鸣四海祥
龙蛇竟舞春光艳	骐骥争驰淑景新
龙岁才舒千里目	蛇年更上一层楼
龙岁才舒千里目	巳年更上一层楼
龙岁已开新世纪	蛇年又展好春光
龙腾大地春阳丽	蛇舞神州胜纪新
龙腾广宇江山丽	蛇舞神州岁月新
龙腾华夏春光丽	蛇蛰神州福气浓
龙腾九域千年禧	蛇舞三春万象新
龙腾盛世千年瑞	蛇舞神州万代荣
龙腾四海家家乐	蛇舞九州处处新
龙腾宇际春烂漫	蛇步锦程业辉煌
龙戏宝珠辞旧岁	蛇衔瑞草贺新春
龙戏高天鱼戏水	蛇游大泽燕游春
龙兴大业开新纪	蛇舞阳春奏凯歌
龙昭日月雄风在	蛇壮山河锐意增
绿水欢歌歌盛纪	银蛇起舞舞新春
去年龙蛰千重景	今日蛇迎四海春
人怀壮志江山秀	蛇报新春世纪新
人民有福歌新政	祖国长春舞小龙
山高水远人增志	蛇接龙年地满春
山欢水笑普天乐	龙去蛇来遍地春
山蛇起舞云行雨	喜鹊争鸣雪点梅
山舞银蛇春烂漫	路驰骏马景妖娆
山舞银蛇迎巳岁	原驰蜡象送辰年
蛇年四季百花艳	燕影千家五谷丰
蛇年喜庆丰收景	燕语欢歌幸福家
蛇吐宝珠辞旧岁	燕衔柳叶贺新春
蛇吐宝珠辞旧岁	龙含瑞气贺新春
蛇献金珠龟献寿	鸟鸣玉宇鹿鸣春
蛇献灵芝长寿草	民欢富裕小康年
蛇行瑞气增春色	人展宏图壮国威
盛世龙腾留伟业	新年蛇舞起宏图
世纪更新人不老	灵芝献寿蛇迎春
世纪门前蛇起舞	梧桐树上凤呈祥
世纪神州添锦绣	蛇年伟业更辉煌
寿比青松福比海	蛇盘玉兔鹊盘梅
寿草惊蛇开眼绿	春花惹蝶向阳红
四海龙腾佳日去	千年蛇蛰早春来
四野蛇呈丰稔景	万民雀跃艳阳天
岁辞大泽春风劲	人舞小龙世纪新
岁辞龙尾春光好	山舞蛇姿景色新
岁去年来新换旧	龙潜蛇舞景成春
天地迎春弃旧貌	龙蛇接力展宏图
天蓝水碧青蛇降	柳绿桃红紫燕飞
天浴朝阳蓬勃气	蛇含芝草吉祥年
天增岁月开新纪	春满乾坤舞小龙
天征瑞象迎新岁	山舞银蛇庆早春
喜鹊高歌传捷报	金蛇狂舞庆丰年
小龙得志行风雨	彩蝶迎春戏牡丹
小龙起舞神州地	祖国腾飞大治年
辛盘喜钦丰收酒	巳岁欣荣富贵春
辛岁腾飞凭政策	巳年改革重科研
辛夜平安开景远	巳年大吉启新程
新春喜鹊登枝唱	吉地银蛇降福来
银花火树新春夜	丹凤金蛇大治年
银蛇漫舞千家乐	紫燕欢歌万里春
云霞燕舞春光艳	灵草蛇衔寿气浓
丙丁烈焰开新宇	子丑银花兆丰年
丙辉耀福腾淑气	子舍承欢聚太和
丙年有庆猪辞岁	子夜无声鼠报春
丙夜未眠思国计	子时早起讶春光
丙子迎春期两制	陆台携手庆三通
才见肥猪财拱户	又迎金鼠福临门
窗花巧剪吉祥鼠	科技尊称致富神
春风又绿江南岸	好雨复滋甲子年
春鼓频敲鼠嫁女	秧歌竞扭喜盈门
春光曙色兆甲岁	松韵清流庆子年
稻菽千重金浪起	春风万里玉梅开
东风扑面经新雨	江水回头恋子年
亥岁祝福歌九曲	子年尽兴饮三杯
花香鸟语山村好	雨顺风调鼠岁丰
火树银花迎玉鼠	山珍海味列金盘
吉祥鼠报丰收岁	科技花开富裕家
甲兵永戢书康乐	子庶同歌世共和
甲第宏开他造府	子年兴旺我修楼
甲第连云欣发展	子年遍地祝丰收
甲乙科名佳话在	子孙孝友古风存
甲子迎春多瑞霭	文明建国遍春风
嫁女画图呈喜庆	迎春燕子舞祥和
鸠妇雨添正月翠	鼠姑风裹一庭香
九州浪潮逐鼠去	万里东风吹富来
老鼠娶亲成故事	雄鸡迎日报新春
老鼠娶亲鸣鼓乐	羊毫蘸墨写春联
麟角凤毛增国誉	鼠须妙笔点春光
灵鼠跳枝月影晃	春牛耕地谷香飘
灵鼠迎春春色好	金鸡报晓晓光新
龙国群英兴伟业	鼠须彩笔绘蓝图
绿酒添香甲子岁	雪花献瑞大丰年
年画喜人鼠嫁女	红梅傲雪鹊鸣春
鹊喳梅放春迎户	鼠报年来福满门
壬遇深恩心谢党	子图大业力描春
三春花雨润甲岁	十亿神州庆子年
十二时辰鼠在首	一年四季春为头
豕去鼠来新换旧	星移斗转腊迎春
鼠怀不可告人事	年到非常吉庆时
鼠女出嫁千里外	钟声敲响两年间
鼠无大小名称老	年接尾头岁更新
鼠颖描春成画稿	羊毫触墨舞龙蛇
肃贪惩治官仓鼠	正本当纠裙带风
岁月峥崂逢子鼠	江山锦绣倾甲年
跳舞唱歌庆子岁	题诗作对颂甲年
万千气象开新景	一代风流壮鼠年
万千禽兽尊为子	十二生肖独占先
午夜钟声响且远	子时月色亮而圆
务本神农播百谷	刺贪硕鼠吟三章
消除鼠害人人事	造福家邦岁岁昌
一日时辰子为首	十二生肖鼠占头
银花火树迎金鼠	海味山珍列玉盘
银花万簇迎金鼠	火树千株展玉龙
莺歌燕舞春添喜	豕去鼠来景焕新
宰掉肥猪开美宴	迎来金鼠庆新春
子来亥去年更岁	斗换星移日转轮
子年大有山河壮	甲岁丰盈日月新
子时一到开新律	鼠岁三春报好音
子岁人奔新富路	甲年众改旧乾坤
子夜佳章茅盾著	鼠偷奇案况钟察
子夜鼠欢爆竹乐	门庭燕舞笑声喧
子夜钟声燃爆竹	鼠年吉语化春联
祖国健儿兴骏业	鼠须彩笔绘宏图
常在蟾宫攀桂树	今临禹甸送丰年
丁帘卷雨饶春意	卯酒盈杯祝丰年
东方日出金乌艳	除夕月升玉兔皎
东风放虎归山去	明月探春引兔来
虎奔千里留雄劲	兔进万家报吉祥
虎过关山添活力	兔攀月桂浴春晖
虎年喜结丰收果	兔岁欣开幸福花
虎年已去春风暖	兔岁乍来喜气浓
虎去雄风惊五岳	兔开健步跃三江
虎去雄风镇五岳	兔生瑞气秀三春
虎岁刚饮祝捷酒	兔年又放报春花
虎岁欢歌香港返	兔年喜庆澳门归
虎岁三十爆竹脆	兔年初一对联红
虎岁扬威兴骏业	兔毫着彩绘宏图
虎岁扬威兴骏业	兔年献彩立新功
虎尾回头添胜利	兔毫扎笔写风流
虎啸群山辞旧岁	兔奔匝地庆新春
虎啸深林增瑞气	兔驰沃野益新风
虎越雄关踪影去	兔临春境晓光新
虎振雄风留浩气	兔迎盛世启新程
虎振雄风留浩气	兔迎盛世蔚新春
虎走三关鸡报晓	兔升九域鹿鸣春
欢送戊寅丰稔岁	喜迎乙卯幸福春
金杯醉酒乾坤大	玉兔迎春岁月新
金虎腾跃风流世	玉兔笑迎锦绣春
卯时美景花方艳	兔岁良辰酒更醇
卯至东方蓬勃日	兔来华夏振兴时
门户临风迎春入	高楼触月接兔归
庆玉兔今年奋起	祝金龙明岁腾飞
山中虎啸昌新运	月里兔欢启宏图
深山虎啸雄风在	绿野兔奔好景来
深山虎啸雄风在	绿野兔奔美景来
岁首喜看玉兔跃	耳边犹有金龙吟
岁岁痛饮祝捷酒	兔年怒放报春花
兔奔千里传春信	龙起九霄壮国威
兔镜常圆人盼好	龙甲时耀国期安
兔魄常圆花正好	阳光普照景常春
兔跃千山传喜讯	龙腾万里展英才
喜对良宵玩玉兔	笑同胜友赏新春
喜兔年初开春色	继虎岁再展宏图
喜兔年初露春色	继虎岁大展宏图
喜玉兔今年奋起	祝巨龙明岁腾飞
艳阳高照门庭瑞	玉兔喜临世纪新
乙有长风万里至	卯迎旭日九州春
寅去卯来腾瑞气	虎归兔到发祥光
玉户临风迎兔入	高楼揽月接春来
玉兔报春田野绿	金鸡唱晓艳阳红
玉兔呈祥家家乐	金龙兆瑞步步高
玉兔毫光生紫气	金龙捷足入青云
玉兔欢奔芳草地	金乌腾跃碧云天
玉兔机灵承虎气	金乌活跃显狮威
玉兔月中勤捣药	金牛地上恪耕田
月里嫦娥舒袖舞	人间玉兔报春来
月中玉兔下凡界	陌上金鸡报晓春
八骏荣归除夕夜	三春新谱放羊歌
八骏嘶风传捷报	五羊跳跃展新图
白羊越涧探春景	紫燕绕梁报福音
百凤迎春朝旭日	五羊衔穗兆丰年
宝马腾飞迎福至	灵羊起舞报春来
北岭春深宜牧马	南疆草浅待牵羊
不舍风驰追马迹	行看岁稔话羊年
才听骏马踏花去	又见金羊献瑞来
草肥水甜牛羊壮	人杰地灵五谷香
长空载誉夸天马	大地回春颂吉羊
驰骋春风追丽日	扶摇羊角步青云
雏鸭报春江水暖	灵羊衔穗稻花香
春草茸茸催马壮	碧溪潺潺助羊肥
春露秋霜连广宇	羊肠鸟道变通途
春满神州舒画卷	羊临华夏入诗篇
春染红棉迎旭日	羊衔金穗报丰年
催马唤羊逢盛世	叱云沐雨览新春
得意春风催快马	解人新岁献灵羊
得意春风仍疾马	连天碧草又宜羊
得意春风扬马首	宜人景色赖羊毫
庚午祝捷神马去	辛未报喜宝羊来
好鸟鸣春歌盛世	吉羊启运乐升平
画展春城描特色	诗题羊石纪新春
吉羊得草延春色	紫燕衔泥落好家
吉羊健步迎春至	洪福齐天及地来
金凤呈祥人得意	玉羊衔瑞事称心
金驹辞岁羊报吉	丹凤朝阳燕迎春
金马奔驰改革路	银羊欢跃太平年
金马扬蹄抒远志	玉羊接力展宏图
金穗飘香香四季	玉羊报喜喜千家
九州百族辞马岁	两岸三通接羊年
骏马功成领功去	吉羊捷足报捷来
骏马腾飞成壮举	灵羊起步赴新程
骏业辉煌归历史	羊毫遒劲谱新篇
骏业已开休驻马	鸿图再展莫亡羊
鲲鹏展翅扶羊角	莺燕欢歌送马蹄
老马奋蹄知路远	羔羊跪乳感恩深
老马识途辞旧岁	灵羊衔穗报丰年
老马识途归故里	羔羊跪乳报春晖
老马识途终有意	羔羊跪乳最多情
灵羊捷足登新境	骏马奋蹄向未来
灵羊下界盈门喜	乳燕衔泥满院春
羚羊挂角挑春色	喜鹊登枝报福音
龙凤腾飞迎一统	马羊接力赛三春
马步生风辞旧岁	羊毫挥墨写佳联
马驰碧野凯歌壮	羊跃青山景色新
马驰大道征途远	羊上奇峰景色娇
马驰万里传捷报	羊越千山奏凯歌
马驰原野繁花茂	羊跃神州事业兴
马甲雄骑迎胜利	羊羹美酒庆丰收
马年事事如人意	羊岁时时报福音
马年已绘丰收景	羊岁继吟致富诗
马首关情吟妙句	羊毫随意绘新图
马首是瞻跟党走	羊毫在挥为民挥
马首是瞻新世纪	羊毫尽绘好春光
马岁荣光辉日月	羊毫遒劲续春秋
马岁事事合民意	羊年处处沐春风
马岁事事如人意	羊年时时洽春风
马蹄踊跃驰千里	羊角扶摇上九霄
马驮硕果归山去	羊踏青坪报喜来
马尾松劲承雨露	羊毫妙笔点春光
马尾松青凝瑞雪	羊毫笔墨舞春风
骑马牧羊歌盛世	顶凌踏雪报新春
人怀远志驰良马	世易新春唤白羊
神骏回眸丰稔景	灵羊翘首吉祥图
神马行空普天瑞	仙羊下界遍地春
世纪春风萌绿草	山乡柳笛放群羊
世纪更新花吐艳	春风送暖瑞呈祥
世上尘埃随马尽	人间春色逐羊来
誓做长征千里马	争当改革领头羊
岁焕新风燕剪柳	春来大地羊铺云
